	  S  	   E   	C	P  
   0              1.86	1.56	0       	0.07
13.23	0.94	0.64	0.88	0.08
26.46	0.72	0.55	1.1     	0.16
39.68	0.57	0.49	0.99	0.15
52.91	0.61	0.47	1       	0.34
66.14	0.49	0.52	0.96	0.46
79.37	0.46	0.44	1.04	0.48
92.59	0.35	0.62	0.92	0.54
105.82	0.31	0.64	0.83	0.66
119.05	0.32	0.65	0.79	0.7
132.28	0.28	0.68	0.89	0.82
145.5	0.34	0.7     	0.86	0.91
158.73	0.2     	0.79	0.8     	1.03
171.96	0.3     	0.85	0.62	1.03
185.19	0.25	0.86	0.63	1.06
198.41	0.06	0.89	0.6     	1.22
211.64	0.05	0.95	0.58	1.24
224.87	0.09	0.98	0.51	1.26
238.1	0.1     	0.97	0.45	1.32
251.32	0.1     	1.12	0.44	1.31
264.55	0.13	1.1     	0.49	1.42
277.78	0.05	1.17	0.53	1.43
291.01	0.04	1.11	0.39	1.48
304.23	0.06	1.11	0.34	1.43
317.46	0.06	1.23	0.36	1.59
330.69	0.07	1.21	0.28	1.56
343.92	0.1     	1.2     	0.38	1.47
357.14	0.08	1.25	0.32	1.61
370.37	0.04	1.17	0.18	1.68
383.6	0.07	1.34	0.19	1.67
