	Pi	PCr	Lac
0.02	30.19	2.26	0
0.05	26.89	3.02	0
0.07	25.89	3.77	0
0.1	24.9	4.05	0.38
0.12	23.16	4.34	0.85
0.15	21.41	4.95	1.32
0.17	18.96	5.56	2.64
0.32	13.62	13.2	8.11
0.35	12.73	13.74	8.34
0.5	8.67	16.97	9.75
0.52	8.45	17.2	9.99
0.65	7.35	18.34	10.85
0.67	7.28	18.57	11.03
0.82	6.87	18.73	11.1
0.84	6.86	18.76	11.12
0.99	6.77	18.75	10.95
1.02	6.72	18.75	10.92
1.49	5.69	19.5	11.58
1.51	5.63	19.6	11.72
2.01	3.45	21.57	14.58
3	1.74	23.43	15.79
4.99	0.47	23.96	16.6
4.991	0.47	23.96	16.6
9.95	0.19	24.24	16.79
9.98	0.19	24.25	16.79
