	Glu		G6P	FBP	3-PGA	PEP	Pyr	Lac
0	81.46882591	0.1	0.71779	30	10	0.1	0.01
0.25	80.11983806	3.279	9.2296	15	6	9.2426	0.19
0.75 	76.99757085 	5.7316 	24.535 	7.5 	2.6 	12.717 	0.74
1.25	72.63481781	5.267	33.321	5	1.9166	13.423	2.21
1.75	66.17327935	4.5125	37.783	3.7252	1.684	12.962	5.01
2.25	57.77651822	4.2646	41.082	3.1972	1.5455	11.613	8.44
2.75	47.80566802	3.9708	43.67	2.8656	1.415	10.105	11.86
3.25	37.20323887	3.5986	45.329	2.8524	1.3257	9.2605	15.91
3.75	26.61538462	3.3717	45.804	3.264	1.3185	9.1368	20.11
4.25	16.87611336	3.1352	44.712	3.9785	1.431	8.6755	23.36
4.75	8.895546559	2.4878	41.315	4.8815	1.677	7.5825	27.08
5.25	3.44291498	1.8	34.025	7.5942	2.0814	6.1377	29.53
5.75	1.191352227	1.3521	24.357	15.123	3.17	4.7558	30.34
6.25	0.713991903	0.9	16.023	27.239	5.26	3.7325	30.45
7.25	0.192032389	0.45	5.9372	35.768	7.27	2.1625	31.18
8.75	0.01240081	0.1	2.8526	36.751	9.19	0.70848	30.43
10.75	0.000561943	0.013486	0.24541	35.23	9.94	0.08279	30.85
11.25	0.0001165		0.013486	0.2	34.866	10.058	0.041227	30.12
11.75	0		0.013486	0.16	34.569	10.182	0.019532	30.79
12.25	0		0.013486	0.11	34.341	10.306	0.0092164	29.97
13.75	0		0.013486	0.08	33.919	10.627	0.0020258	29.91
14.25	0		0.013486	0.03	33.817	10.7	0.0015616	29.96
15.25	0		0.013486	0.0001	33.624	10.774	0.0010482	30.15
15.75	0		0.013486	0.0001	33.53	10.78	0.0008837	30.72




































